30.09.2011;2.529;;3.652;3.965;4.289;4.48;5.016
31.10.2011;2.157;;4.085;4.709;4.863;4.89;5.208
30.11.2011;6.298;;8.207;7.839;7.247;6.715;6.521
30.12.2011;3.39;;4.682;5.274;5.251;5.621;5.533
31.01.2012;1.002;;3.065;4.26;4.984;5.339;5.465
29.02.2012;-0.128;;1.632;2.562;3.251;3.628;3.925
30.03.2012;-2.595;;1.132;2.557;3.3;3.741;4.2
30.04.2012;-2.052;;1.878;3.1;3.882;4.317;4.604
31.05.2012;1.975;;3.835;4.88;5.072;5.036;5.038
29.06.2012;5.181;3.077;4.404;4.446;4.939;5.035;4.98
31.07.2012;;3.448;;4.677;5.142;5.292;5.37
31.08.2012;;1.824;;3.627;4.466;4.666;4.883
28.09.2012;;0.805;;2.801;3.344;3.627;4.067
31.10.2012;;0.758;;2.519;;3.336;3.821
30.11.2012;;0.608;;1.986;;2.812;3.299
31.12.2012;;0.616;;1.887;;2.816;3.305
31.01.2013;;0.236;;1.718;;2.618;3.011
28.02.2013;;0.762;;2.106;;3.033;3.331
29.03.2013;;1.906;;2.02;;3.119;3.433
30.04.2013;;-0.022;;1.369;;2.296;2.771
31.05.2013;;0.913;;1.786;;2.438;2.883
28.06.2013;;1.381;;2.642;;3.13;3.515
31.07.2013;;0.903;;2.337;;2.843;3.26
30.08.2013;;1.161;;2.312;;2.875;3.317
30.09.2013;-0.062;1.071;1.457;2.201;2.834;3.036;3.252
31.10.2013;-0.106;;1.215;1.922;2.525;2.742;3.025
29.11.2013;0.371;;0.946;1.714;2.534;2.815;3.046
31.12.2013;0.232;;0.907;1.622;2.474;2.782;2.938
31.01.2014;-0.113;;0.813;1.422;2.213;2.536;2.77
28.02.2014;0.13;;0.534;1.197;1.956;2.329;2.6
31.03.2014;-2.193;;0.029;0.691;1.606;2.033;2.319
30.04.2014;-1.526;;0.069;0.562;1.348;1.743;2.058
30.05.2014;0.644;;0.306;0.573;1.265;1.621;1.95
30.06.2014;1.455;;0.162;0.439;1.019;1.439;1.793
31.07.2014;1.998;;0.24;0.419;0.9;1.312;1.694
29.08.2014;3.789;0.048;0.18;0.388;1.032;1.255;1.513
30.09.2014;;-0.337;-0.155;0.195;;1.143;1.398
31.10.2014;;0.094;0.175;0.431;;1.268;1.533
28.11.2014;;0.391;0.27;0.373;;1.024;1.271
31.12.2014;;0.751;0.568;0.561;;1.117;1.281
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
