31.08.2012;;;-0.932;-0.72;0.264;0.575;;
28.09.2012;;;-1.245;-1.014;0.176;0.499;;
31.10.2012;;;-0.953;-0.787;0.278;0.602;;
30.11.2012;;;-1.26;-1.088;0.12;0.459;;
31.12.2012;;;-1.287;-1.08;0.094;0.357;;
31.01.2013;;;-0.967;-0.83;0.227;0.442;;
28.02.2013;;-1.045;-0.913;;0.252;0.541;;
29.03.2013;;-1.193;-1.084;;0.085;0.463;;
30.04.2013;;-1.112;-0.995;;-0.082;0.25;;
31.05.2013;;-0.842;-0.697;;0.226;0.501;;
28.06.2013;;-0.46;-0.266;;0.642;0.865;;
31.07.2013;;-0.749;-0.535;;0.493;0.75;;
30.08.2013;;-0.774;-0.495;;0.691;1.001;;
30.09.2013;;-0.909;-0.659;;0.532;0.854;;
31.10.2013;;-0.73;-0.584;;0.414;0.737;;
29.11.2013;;-0.849;-0.675;;0.499;0.815;;
31.12.2013;;-0.765;-0.523;;0.681;0.981;;
31.01.2014;;-0.815;-0.638;;0.457;0.8;;
28.02.2014;;-0.748;-0.569;;0.48;0.803;;
31.03.2014;;-1.004;-0.758;;0.331;0.702;;
30.04.2014;;-0.791;-0.699;;0.273;0.61;;
30.05.2014;;-0.617;-0.628;;0.157;0.525;;
30.06.2014;;-0.634;-0.67;;-0.063;0.415;;
31.07.2014;;-0.448;-0.512;;-0.228;0.186;;
29.08.2014;;-0.568;-0.637;;-0.379;0.059;;
30.09.2014;;-0.944;-0.887;;-0.338;0.135;;
31.10.2014;;-0.596;-0.643;;-0.304;0.093;;
28.11.2014;;-0.517;-0.55;;-0.366;-0.059;;
31.12.2014;-0.18;-0.41;-0.467;-0.371;-0.313;-0.015;;
